year,month,airline
1960,February,Douglas
1960,March,Real Transportes Aéreos
1960,June,Douglas
1960,June,Aeroflot
1960,June,Alitalia
1960,July,Douglas
1960,July,Lockheed
1960,July,Trans Australia Airlines
1960,August,Aeroflot
1960,August,Real Transportes Aéreos
1960,September,Douglas
1960,September,Ethiopian Air Lines
1960,October,Douglas
1960,October,Chicago Helicopter Airways
1960,November,Aeroflot
1960,December,Air France
1960,December,Lockheed
1961,January,Aero
1961,January,Douglas
1961,January,Aeronaves de México
1961,January,Douglas
1961,February,Garuda Indonesian Airways
1961,February,Douglas
1961,March,American Airlines
1961,March,Boeing
1961,April,Garuda Indonesian Airways
1961,May,Douglas
1961,May,Sabena
1961,June,Boeing
1961,June,Aeroflot
1961,July,ČSA
1961,July,LAN-Chile
1961,July,Douglas
1961,July,Air France
1961,August,Lockheed
1961,August,Viasa
1961,September,Douglas
1961,September,KLM
1961,September,Lockheed
1961,September,Aeroflot
1961,September,United Airlines
1961,September,Douglas
1961,October,ČSA
1961,November,Aerolíneas Argentinas
1961,November,Douglas
1961,November,Alaska Airlines
1961,November,Douglas
1961,December,Malév
1961,December,Douglas
1961,December,Malév
1962,February,Avensa
1962,March,American Airlines
1962,March,Boeing
1962,March,Caledonian Airways
1962,March,Douglas
1962,May,Turkish Airlines
1962,May,Flying Tiger Line
1962,May,Lockheed
1962,June,Channel Airways
1962,June,Douglas
1962,June,Eastern Provincial Airlines
1962,July,Continental Airlines
1962,July,Boeing
1962,July,Air France
1962,July,Boeing
1962,September,Air France
1962,September,Boeing
1962,September,Aeroflot
1962,November,Alitalia
1962,November,Douglas
1962,November,United Arab Airlines
1962,November,Canadian Pacific Air Lines
1962,December,Aeroflot
1962,December,Aeroflot
1963,February,Turkish Air
1963,February,Douglas
1963,March,Boeing
1963,March,Philippine Airlines
1963,April,Douglas
1963,June,Aeroflot
1963,July,Aeroflot
1963,July,Northwest Airlines
1963,July,Douglas
1963,July,Mohawk Airlines
1963,August,New Zealand National Airways Corporation
1963,August,Douglas
1963,August,Aeroflot
1963,September,United Arab Airlines
1963,November,Air Inter
1963,November,Aeroflot
1963,December,Aeroflot
1964,May,Capital Airlines
1964,May,Avro York
1964,June,Aeronaves de México
1964,August,Lockheed
1964,August,Central African Airways
1964,August,KLM
1964,August,Lockheed
1964,September,Aeroflot
1964,September,Independent Air
1964,October,Aeroflot
1964,October,Aeroflot
1964,December,British European Airways
1964,December,Aviaco
1964,January,BOAC
1964,January,Douglas
1964,January,Lufthansa
1964,February,Lockheed
1964,February,Austral Líneas Aéreas
1964,February,Curtiss
1964,April,American Airlines
1964,May,Lockheed
1964,June,Pan Am
1964,June,Boeing
1964,August,Turkish Airlines
1964,August,Air Charter Turkey
1964,September,Capital Airlines
1964,September,Pan Am
1964,October,Douglas
1964,October,TWA
1964,November,Lockheed
1964,November,American Airlines
1964,November,Boeing
1964,December,Boeing
1965,January,Aeroflot
1965,February,LAN Chile
1965,February,Douglas
1965,March,Eastern Air Lines
1965,March,Douglas
1965,April,Pan Am
1965,May,Boeing
1965,May,Aeroflot
1965,July,Lisunov Li-2
1965,July,Aeroflot
1965,July,British United Airways
1965,July,Douglas
1965,August,Iberia
1965,September,Lockheed
1965,October,PIA
1965,November,Boeing
1965,November,Continental Airlines
1965,November,Boeing
1965,December,Canadian Pacific Air Lines
1966,January,Avianca
1966,January,Douglas
1966,January,Air India
1966,February,Boeing
1966,February,Lufthansa
1966,February,Pakistan International Airlines
1966,February,All Nippon Airways
1966,March,Boeing
1966,March,Aeroflot
1966,March,Aeroflot
1966,April,Canadian Pacific Air Lines
1966,April,Douglas
1966,April,BOAC
1966,June,Boeing
1966,July,United Arab Airlines
1966,August,American Flyers Airline
1966,September,Lockheed
1966,September,Aeroflot
1966,October,LANSA
1966,November,Lockheed
1966,November,Hawker Siddeley
1966,November,Air New Zealand
1966,December,Douglas
1967,January,Aeroflot
1967,February,Garuda Indonesian Airways
1967,February,Lockheed
1967,March,Philippine Airlines
1967,March,Lake Central Airlines
1967,March,Varig
1967,March,Douglas
1967,March,TWA
1967,March,Douglas
1967,April,South African Airways
1967,April,Delta Air Lines
1967,June,Douglas
1967,June,Air Algérie
1967,June,Globe Air
1967,June,Air Ferry
1967,July,Douglas
1967,July,British Midland
1967,September,Mohawk Airlines
1967,October,Thai Airways
1967,November,Philippine Airlines
1967,November,Boeing
1967,November,Cessna
1967,November,ČSA
1967,December,Cyprus Airways
1967,December,Iberia
1968,January,Aeroflot
1968,February,Civil Air Transport
1968,February,Boeing
1968,March,Aeroflot
1968,March,Air France
1968,March,Boeing
1968,April,Aer Lingus
1968,April,Ozark Air Lines
1968,May,Douglas
1968,May,Cessna
1968,May,Cessna
1968,July,BOAC
1968,July,Boeing
1968,July,South African Airways
1968,August,Boeing
1968,August,Braniff
1968,September,Lockheed
1968,October,Los Angeles Airways
1968,November,Garuda Indonesia
1968,November,Douglas
1968,December,BKS Air Transport
1968,December,British European Airways
1968,December,El Al
1968,December,British Eagle
1968,December,Los Angeles Airways
1969,January,Ariana Afghan Airlines
1969,January,Boeing
1969,January,Scandinavian Airlines
1969,January,Douglas
1969,February,United Airlines
1969,February,Boeing
1969,March,Douglas
1969,March,Far Eastern Air Transport
1969,March,Prinair
1969,April,Viasa
1969,April,Douglas
1969,June,United Arab Airlines
1969,June,LOT
1969,June,LAN Chile
1969,August,Boeing
1969,September,Mexicana de Aviación
1969,September,Boeing
