year,month,airline
1998,September,Propair
1998,September,Proteus Airlines
1998,September,Indian Airlines
1998,October,Korean Air
1998,December,Boeing
1998,December,Myanma Airways
1999,February,China Southwest Airlines
1999,February,Alitalia
1999,March,Korean Air
1999,April,Douglas
1999,April,Turkish Airlines
1999,April,Boeing
1999,June,Avianca
1999,July,Korean Air
1999,July,Douglas
1999,July,American Airlines
1999,August,Douglas
1999,August,Hinduja Cargo Services
1999,August,Boeing
1999,August,All Nippon Airways
1999,September,Boeing
1999,September,Air Fiji
1999,September,TACV
1999,October,China Airlines
1999,October,Douglas
1999,November,Uni Air
1999,November,Douglas
1999,December,LAPA
1999,December,Boeing
1999,December,Necon Air
1999,December,Britannia Airways
1999,December,Boeing
1999,December,Qantas
2000,January,Crossair
2000,January,Avisto
2000,January,Kenya Airways
2000,January,Alaska Airlines
2000,February,Emery Worldwide Airlines
2000,March,Southwest Airlines
2000,April,Boeing
2000,May,Air Philippines
2000,May,Boeing
2000,June,Philippine Airlines
2000,July,Whyalla Airlines
2000,July,Wuhan Airlines
2000,July,Malév
2000,July,Royal Jordanian
2000,July,Aerocaribe
2000,July,Hapag-Lloyd
2000,July,Alliance Air
2000,August,Boeing
2000,August,Air France
2000,September,Royal Nepal Airlines
2000,October,Southwest Airlines
2000,October,Boeing
2000,November,Gulf Air
2000,November,Beechcraft 200
2000,December,Lao Aviation
2000,December,Singapore Airlines
2001,January,Yemenia
2001,January,Boeing
2001,January,RUTACA Airlines
2001,February,Douglas
2001,February,Japan Airlines
2001,March,Japan Airlines
2001,March,Douglas
2001,March,Japan Airlines
2001,May,Boeing
2001,July,Iberia
2001,July,Loganair
2001,August,Thai Airways
2001,August,Boeing
2001,August,Air Caraïbes
2001,September,Avjet
2001,September,Avjet
2001,September,Faraz Qeshm Airlines
2001,October,Vladivostok Air
2001,October,Rus
2001,October,Air Transat
2001,November,Blackhawk International Airways
2001,November,Cessna
2001,November,Binter Mediterráneo
2001,December,United Airlines
2002,January,Siberia Airlines
2002,January,Garuda Indonesia
2002,January,Boeing
2002,February,TAME
2002,April,Boeing
2002,May,Iran Air
2002,May,Air China
2002,May,Boeing
2002,May,EAS Airlines
2002,July,EgyptAir
2002,July,Boeing
2002,July,China Northern Airlines
2002,July,Douglas
2002,July,China Airlines
2002,July,Boeing
2002,August,Bashkirian Airlines
2002,August,DHL
2002,September,Boeing
2002,October,Boeing
2002,November,Boeing
2002,November,Swiss International Air Lines
2002,November,Bristow Helicopters
2002,December,FedEx
2002,December,Boeing
2003,January,Air Midwest
2003,January,Turkish Airlines
2003,January,TANS Perú
2003,March,Air Algérie
2003,March,Boeing
2003,May,Air China
2003,May,Ukrainian Cargo Airways
2003,May,Boeing
2003,May,UM Airlines
2003,June,Qantas
2003,July,Boeing
2003,August,Air France
2003,August,Sudan Airways
2003,November,Boeing
2003,December,Tropical Airways
2003,December,Colgan Air
2004,January,Flash Airlines
2004,January,Boeing
2004,February,Uzbekistan Airways
2004,May,Kish Air
2004,June,Rico Linhas Aéreas
2004,August,Gabon Express
2004,October,Hawker Siddeley
2004,October,Air Tahoma
2004,October,MK Airlines
2004,November,Boeing
2004,November,Pinnacle Airlines
2005,February,Kam Air
2005,February,Boeing
2005,March,British Airways
2005,March,Boeing
2005,March,Air Transat
2005,May,Regional Airlines
2005,May,West Caribbean Airways
2005,June,Airwork
2005,July,Lockhart River
2005,August,Aero
2005,August,Transair
2005,August,Lockhart River
2005,August,US Airways
2005,August,Boeing
2005,August,Aer Lingus
2005,September,Equatorial Express
2005,September,Air France
2005,October,Tuninter
2005,December,Copterline
2005,December,Helios Airways
2005,December,Boeing
2005,December,West Caribbean Airways
2006,January,British Midland
2006,February,Boeing
2006,February,Boeing
2006,February,Independent Air
2006,March,Boeing
2006,March,Flying Tiger Line
2006,March,Boeing
2006,June,United Airlines
2006,June,Boeing
2006,July,Air Ontario
2006,July,Evergreen International Airlines
2006,July,Douglas
2006,August,Transbrasil
2006,August,Boeing
2006,August,Surinam Airways
2006,September,Douglas
2006,September,Interflug
2006,September,United Airlines
2006,September,Douglas
2006,September,Philippine Airlines
2006,October,Korean Air
2006,October,Douglas
2006,October,Olympic Aviation
2006,November,China Eastern Airlines
2006,November,Pakistan International Airlines
2006,November,Cubana de Aviación
2006,December,Varig
2006,December,Boeing
2006,February,Partnair
2006,March,UTA
2006,March,Douglas
2006,March,USAir
2006,June,Boeing
2006,June,TAN-SAHSA
2006,July,Boeing
2006,July,China Airlines
2006,July,Boeing
2006,August,Aloha Island Air
2006,August,Korean Air
2006,August,Avianca
2006,September,Boeing
2006,September,Tepper Aviation
2006,September,Lockheed
2006,September,KLM
2006,September,Boeing
2006,October,United Express
2006,October,United Airlines
2006,October,Boeing
2006,November,Air Ontario
2006,November,Evergreen International Airlines
2006,November,Douglas
2006,December,Transbrasil
2006,December,Boeing
2007,January,Aeroflot
2007,January,SANSA
2007,January,Avianca
2007,February,Boeing
2007,April,Indian Airlines
2007,April,Atlantic Southeast Airlines
2007,May,Cessna
2007,May,Cessna
2007,June,Widerøe
2007,August,Philippine Airlines
2007,September,Boeing
2007,October,Aerolift Philippines
2007,November,British Airways
2007,November,British Airways
2007,December,Boeing
2007,January,Faucett
2007,February,Boeing
2007,April,Boeing
2007,April,Xiamen Airlines
2007,May,China Southwest Airlines
2007,May,Boeing
2007,June,China Southern Airlines
2007,August,Boeing
2007,September,Alitalia
2007,October,Douglas
2007,November,Bangkok Airways
2007,November,Northwest Airlines
2007,December,Douglas
2008,January,Transaven
2008,January,British Airways
2008,February,Boeing
2008,February,Boeing
2008,February,Eagle Airways
2008,April,Belavia
2008,April,Santa Bárbara Airlines
2008,April,Blue Wing Airlines
2008,May,Blue Wing Airlines
2008,May,Kata Air Transport
2008,May,Hewa Bora Airways
2008,June,Douglas
2008,July,Kalitta Air
2008,July,Boeing
2008,July,Moskovia Airlines
2008,July,TACA
2008,August,Sudan Airways
2008,August,USA Jet Airlines
2008,August,Douglas
2008,August,Centurion Air Cargo
2008,August,Boeing
2008,September,Kalitta Air
2008,October,Qantas
2008,October,Boeing
2008,November,East Coast Jets
2008,November,Spanair
2008,December,Douglas
2009,January,US Airways
2009,January,Empire Airlines
2009,February,FedEx
2009,February,Manaus Aerotáxi
2009,February,Colgan Air
2009,March,Turkish Airlines
2009,March,Boeing
2009,March,Cougar Helicopters
2009,April,Emirates
2009,April,Emirates
2009,April,FedEx
2009,April,Douglas
2009,June,Bond Offshore Helicopters
2009,June,Aviastar
2009,July,Mimika Air
2009,July,CanJet
2009,July,Boeing
2009,August,Air France
2009,August,Yemenia
2009,August,Southwest Airlines
2009,September,Boeing
2009,September,Caspian Airlines
2009,October,Aria Air
2009,October,Merpati Nusantara
2009,October,Bangkok Airways
2009,November,Airlines PNG
2009,November,Aeroméxico
2009,November,Boeing
2009,December,Airlink
2009,December,Northwest Airlines
2010,January,Taban Air
2010,January,Ethiopian Airlines
2010,March,Boeing
2010,April,Aviastar
2010,April,United Airlines
2010,April,Boeing
2010,April,AeroUnion
2010,May,Merpati Nusantara
2010,May,Boeing
2010,May,Cathay Pacific
2010,June,Afriqiyah Airways
2010,June,Pamir Airways
2010,July,Air India
2010,July,Boeing
2010,August,Emirates
2010,August,CASA C-212 Aviocar
2010,August,Air Service Berlin
2010,August,Douglas
2010,August,Lufthansa
2010,September,Douglas
2010,September,Airblue
2010,September,Katekavia
2010,October,AIRES
2010,November,Boeing
2010,November,Agni Air
2010,November,Henan Airlines
2010,November,Filair
2010,November,UPS Airlines
2010,December,Boeing
2010,December,Emirates
2011,January,Kolavia
2011,January,Iran Air
2011,February,Boeing
2011,February,Manx2
2011,March,Central American Airways
2011,March,VASO
2011,April,Trans Air Congo
2011,April,Southwest Airlines
2011,April,Boeing
2011,May,Georgian Airways
2011,May,Pawan Hans
2011,June,Merpati Nusantara
2011,June,Sol Líneas Aéreas
2011,July,Lightship Europe
2011,July,RusAir
2011,July,Missinippi Airways
2011,July,Cessna
2011,July,Silk Way Airlines
2011,July,Hewa Bora Airways
2011,July,Boeing
2011,July,Angara Airlines
2011,August,Noar Linhas Aéreas
2011,August,Asiana Airlines
2011,September,Boeing
2011,September,EgyptAir
2011,September,Boeing
2011,September,Caribbean Airlines
2011,October,Boeing
2011,October,Avis-Amur
2011,October,First Air
2011,November,Boeing
2012,February,Katanga Express
2012,March,JetBlue
2012,April,UTair
2012,April,Bhoja Air
2012,May,Boeing
2012,May,Sukhoi Superjet
2012,June,Dornier Do-228
2012,June,Allied Air
2012,June,Boeing
2012,August,Dana Air
2012,September,Douglas
2012,September,Tianjin Airlines
2012,October,Alfa Airlines
2012,November,Petropavlovsk-Kamchatsky Air
2012,December,Sita Air
2012,December,FlyMontserrat
2012,December,Aéro-Service
2012,December,Amazon Sky
2013,January,Transaereo
2013,January,SCAT Airlines
2013,February,South Airlines
2013,March,Compagnie Africaine d'Aviation
2013,March,ACE Air Cargo
2013,April,Helicópteros del Pacifico
2013,April,Lion Air
2013,April,Boeing
2013,May,National Airlines
2013,June,Boeing
2013,July,Nepal Airlines
2013,July,Merpati Nusantara
2013,July,Polar Airlines
2013,July,Asiana Airlines
2013,August,Boeing
2013,August,Boeing
2013,October,Rediske Air
2013,October,Southwest Airlines
2013,November,Boeing
2013,November,UPS Airlines
2013,November,CHC Scotia
2014,February,Nepal Airlines
2014,February,Ethiopian Airlines
2014,March,Boeing
2014,June,Malaysia Airlines
2014,July,Boeing
2014,July,Pakistan International Airlines
2014,July,Malaysia Airlines
2014,August,Boeing
2014,December,TransAsia Airways
2014,December,Air Algérie
2015,February,TransAsia Airways
2015,March,Delta Air Lines
2015,March,Douglas
2015,March,Germanwings
2015,April,Air Canada
2015,April,Carson Air
2015,July,Asiana Airlines
2015,August,Shenzhen Airlines
2015,September,Trigana Air Service
2015,September,Boeing
2015,October,Senegalair
2015,October,British Airways
2015,October,Boeing
2015,November,Aviastar
2015,November,Dynamic Airways
2016,January,West Air Sweden
2016,February,Daallo Airlines
2016,February,Tara Air
2016,February,Air Kasthamandap
2016,March,Air Kasthamandap
2016,March,True Aviation
2016,March,Flydubai
2016,April,Boeing
2016,April,EgyptAir
2016,April,Batik Air
2016,May,Boeing
2016,May,Sunbird Aviation
2016,May,Silk Way Airlines
2016,August,Silk Way Airlines
2016,August,EgyptAir
2016,August,Korean Air
2016,October,Boeing
2016,October,Emirates
2016,October,Boeing
2016,October,ASL Airlines Hungary
2016,November,Boeing
2016,December,Southwest Airlines
2016,December,Boeing
2016,December,Skol Airlines
2017,January,Turkish Airlines
2017,March,Boeing
2017,March,Ameristar Charters
2017,May,Peruvian Airlines
2017,July,Boeing
2017,September,Goma Air
2017,October,Air Canada
2017,November,Air France
2017,December,Valan International
2017,December,Khabarovsk Airlines
2018,January,Pegasus Airlines
2018,February,Boeing
2018,February,Saratov Airlines
2018,February,United Airlines
2018,March,Boeing
2018,April,Iran Aseman Airlines
2018,May,US-Bangla Airlines
2018,May,Southwest Airlines
2018,July,Boeing
2018,July,Sichuan Airlines
2018,July,Cubana de Aviación
2018,August,Boeing
2018,August,Pretoria Convair
2018,August,Air Vanuatu
2018,September,Aeroméxico
2018,September,Ju-Air
2018,September,Horizon Air
2018,October,Horizon Air
2018,November,Xiamen Airlines
2018,November,Boeing
2018,November,UTair
2019,January,Saha Airlines
2019,February,Boeing
2019,February,Atlas Air
2019,March,Boeing
2019,March,Biman Bangladesh Airlines
2019,March,Boeing
2019,May,United Express
2019,May,Laser Aéreo
2019,May,Douglas
2019,May,Ethiopian Airlines
2019,June,Boeing
2019,August,Boeing
2019,October,Miami Air International
2019,October,Boeing
2019,November,Aeroflot
2019,December,Sukhoi Superjet
2020,February,Cebu Pacific
2020,February,Douglas
2020,March,China Airlines
2020,March,Formosa Airlines
2020,March,Ariana Afghan Airlines
2020,April,Boeing
2020,May,Philippine Airlines
2020,May,Air France
2020,May,Boeing
2020,June,TAME
2020,July,Occidental Petroleum
2020,July,Boeing
2020,August,Boeing
2020,August,Pakistan International Airlines
2020,August,MIAT
2020,September,Propair
2020,September,Proteus Airlines
2020,September,Indian Airlines
2020,October,Korean Air
2020,December,Boeing
2020,December,Myanma Airways
2020,February,Cubana de Aviación
2020,February,Swissair
2020,March,Douglas
2020,April,PauknAir
2020,April,Lionair
2020,April,Lignes Aériennes Congolaises
2020,June,Boeing
2020,July,Air Satellite
2020,July,Thai Airways
2020,July,China Southwest Airlines
2020,August,Alitalia
2020,August,Korean Air
2020,August,Douglas
2020,August,Turkish Airlines
2020,September,Boeing
2020,September,Avianca
2020,September,Korean Air
2020,October,Douglas
2020,October,American Airlines
2020,November,Douglas
2020,November,Hinduja Cargo Services
2020,December,Boeing
2020,December,All Nippon Airways
2020,December,Boeing
2020,December,Air Fiji
2020,December,TACV
2020,December,China Airlines
2021,January,Sriwijaya Air
2021,February,Boeing
2021,February,Longtail Aviation
2021,March,Boeing
2021,May,United Airlines
2021,May,Boeing
2021,July,South Sudan Supreme Airlines
2021,July,Key Lime Air
2021,July,Ryanair
2021,September,Boeing
2021,October,Transair
2021,November,Boeing
2021,December,Petropavlovsk-Kamchatsky Air
2022,March,China Eastern Airlines
2022,April,Boeing
2022,May,DHL
2022,May,Aero
2022,June,Boeing
2022,July,Tibet Airlines
2022,September,Tara Air
2022,October,RED Air
2022,November,Douglas
2022,November,Meridian
2023,January,Sea World Helicopters
2023,January,Yeti Airlines
2023,September,Ural Airlines
2023,September,Manaus Aerotaxi
2023,October,Alaska Airlines
2023,October,Horizon Air
2024,January,Japan Airlines
2024,January,Japan Airlines
2024,January,Alaska Airlines
2024,February,Boeing
2024,March,Northwestern Air
2024,March,Air Serbia
2024,May,Safarilink Aviation
2024,July,Cessna
2024,July,Cessna
2024,August,LATAM Airlines
2024,August,Boeing
2024,August,Singapore Airlines
2024,September,Boeing
2024,November,Gazpromavia
2024,November,Sukhoi Superjet
2024,December,Saurya Airlines
2024,December,Voepass
2024,December,Thai Flying Service
2025,January,Air Busan
2025,January,Light Air Services
2025,January,American Eagle
2025,February,Bering Air
2025,February,Cessna
