,year,month,airline
241,1958,April,Capital Airlines
242,1958,April,United Airlines
243,1958,May,Douglas
244,1958,May,Capital Airlines
245,1958,June,Avro York
246,1958,August,Aeronaves de México
247,1958,August,Lockheed
248,1958,August,Central African Airways
249,1958,August,KLM
250,1958,September,Lockheed
251,1958,September,Aeroflot
252,1958,October,Independent Air
253,1958,October,Aeroflot
254,1958,December,Aeroflot
255,1958,December,British European Airways
256,1959,January,Douglas
257,1959,January,Lufthansa
258,1959,January,Lockheed
259,1959,February,Austral Líneas Aéreas
260,1959,February,Curtiss
261,1959,February,American Airlines
262,1959,April,Lockheed
263,1959,May,Pan Am
264,1959,June,Boeing
265,1959,June,Turkish Airlines
266,1959,August,Air Charter Turkey
267,1959,August,Capital Airlines
268,1959,September,Pan Am
269,1959,September,Douglas
270,1959,October,TWA
271,1959,October,Lockheed
272,1959,November,American Airlines
273,1959,November,Boeing
274,1959,November,Boeing
275,1959,December,Transair
276,1960,January,National Airlines
277,1960,January,Douglas
278,1960,January,Capital Airlines
279,1960,January,Scandinavian Airlines System
280,1960,February,Avianca
281,1960,February,Lockheed
282,1960,February,Douglas
283,1960,February,Douglas
284,1960,March,Real Transportes Aéreos
285,1960,June,Douglas
286,1960,June,Aeroflot
287,1960,June,Alitalia
288,1960,July,Douglas
289,1960,July,Lockheed
290,1960,July,Trans Australia Airlines
291,1960,August,Aeroflot
292,1960,August,Real Transportes Aéreos
293,1960,September,Douglas
294,1960,September,Ethiopian Air Lines
295,1960,October,Douglas
296,1960,October,Chicago Helicopter Airways
297,1960,November,Aeroflot
298,1960,December,Air France
299,1960,December,Lockheed
300,1961,January,Aero
301,1961,January,Douglas
302,1961,January,Aeronaves de México
303,1961,January,Douglas
304,1961,February,Garuda Indonesian Airways
305,1961,February,Douglas
306,1961,March,American Airlines
307,1961,March,Boeing
308,1961,April,Garuda Indonesian Airways
309,1961,May,Douglas
310,1961,May,Sabena
311,1961,June,Boeing
312,1961,June,Aeroflot
313,1961,July,ČSA
314,1961,July,LAN-Chile
315,1961,July,Douglas
316,1961,July,Air France
317,1961,August,Lockheed
318,1961,August,Viasa
319,1961,September,Douglas
320,1961,September,KLM
321,1961,September,Lockheed
322,1961,September,Aeroflot
323,1961,September,United Airlines
324,1961,September,Douglas
325,1961,October,ČSA
326,1961,November,Aerolíneas Argentinas
327,1961,November,Douglas
328,1961,November,Alaska Airlines
329,1961,November,Douglas
330,1961,December,Malév
331,1961,December,Douglas
332,1961,December,Malév
333,1962,February,Avensa
334,1962,March,American Airlines
335,1962,March,Boeing
336,1962,March,Caledonian Airways
337,1962,March,Douglas
338,1962,May,Turkish Airlines
339,1962,May,Flying Tiger Line
340,1962,May,Lockheed
341,1962,June,Channel Airways
342,1962,June,Douglas
343,1962,June,Eastern Provincial Airlines
344,1962,July,Continental Airlines
345,1962,July,Boeing
346,1962,July,Air France
347,1962,July,Boeing
348,1962,September,Air France
349,1962,September,Boeing
350,1962,September,Aeroflot
351,1962,November,Alitalia
352,1962,November,Douglas
353,1962,November,United Arab Airlines
354,1962,November,Canadian Pacific Air Lines
355,1962,December,Aeroflot
356,1962,December,Aeroflot
357,1963,February,Turkish Air
358,1963,February,Douglas
359,1963,March,Boeing
360,1963,March,Philippine Airlines
361,1963,April,Douglas
362,1963,June,Aeroflot
363,1963,July,Aeroflot
364,1963,July,Northwest Airlines
365,1963,July,Douglas
366,1963,July,Mohawk Airlines
367,1963,August,New Zealand National Airways Corporation
368,1963,August,Douglas
369,1963,August,Aeroflot
370,1963,September,United Arab Airlines
371,1963,November,Air Inter
372,1963,November,Aeroflot
373,1963,December,Aeroflot
374,1964,May,Capital Airlines
375,1964,May,Avro York
376,1964,June,Aeronaves de México
377,1964,August,Lockheed
378,1964,August,Central African Airways
379,1964,August,KLM
380,1964,August,Lockheed
381,1964,September,Aeroflot
382,1964,September,Independent Air
383,1964,October,Aeroflot
384,1964,October,Aeroflot
385,1964,December,British European Airways
386,1964,December,Aviaco
387,1964,January,BOAC
388,1964,January,Douglas
389,1964,January,Lufthansa
390,1964,February,Lockheed
391,1964,February,Austral Líneas Aéreas
392,1964,February,Curtiss
393,1964,April,American Airlines
394,1964,May,Lockheed
395,1964,June,Pan Am
396,1964,June,Boeing
397,1964,August,Turkish Airlines
398,1964,August,Air Charter Turkey
399,1964,September,Capital Airlines
400,1964,September,Pan Am
401,1964,October,Douglas
402,1964,October,TWA
